date,Paris_weather,Paris_min,Paris_max,Paris_avg
29/10/2019,3,9,10,9.5
30/10/2019,2,9,10,9.5
31/10/2019,1,10,11,10.5
01/11/2019,1,12,15,13.5
02/11/2019,2,12,15,13.5
03/11/2019,1,12,13,12.5
04/11/2019,2,12,14,13.0
05/11/2019,2,10,13,11.5
06/11/2019,2,10,12,11.0
07/11/2019,2,10,11,10.5
08/11/2019,3,7,11,9.0
09/11/2019,3,7,10,8.5
10/11/2019,1,7,9,8.0
11/11/2019,1,6,9,7.5
12/11/2019,2,7,8,7.5
13/11/2019,2,7,10,8.5
14/11/2019,2,6,8,7.0
15/11/2019,1,3,6,4.5
16/11/2019,2,5,7,6.0
17/11/2019,3,5,8,6.5
18/11/2019,2,5,8,6.5
19/11/2019,3,7,10,8.5
20/11/2019,2,3,7,5.0
21/11/2019,3,5,10,7.5
22/11/2019,3,6,11,8.5
23/11/2019,1,10,11,10.5
24/11/2019,2,8,11,9.5
25/11/2019,2,7,10,8.5
26/11/2019,2,10,12,11.0
27/11/2019,2,11,13,12.0
28/11/2019,1,11,12,11.5
29/11/2019,2,9,10,9.5
30/11/2019,3,6,8,7.0
01/12/2019,2,3,5,4.0
02/12/2019,3,3,7,5.0
03/12/2019,3,4,10,7.0
04/12/2019,3,3,6,4.5
05/12/2019,3,4,8,6.0
06/12/2019,2,4,6,5.0
07/12/2019,2,9,10,9.5
08/12/2019,1,10,12,11.0
09/12/2019,2,7,9,8.0
10/12/2019,3,5,9,7.0
11/12/2019,1,7,8,7.5
12/12/2019,2,4,7,5.5
13/12/2019,1,7,9,8.0
14/12/2019,2,8,10,9.0
15/12/2019,3,9,11,10.0
16/12/2019,1,9,10,9.5
17/12/2019,2,11,14,12.5
18/12/2019,3,8,11,9.5
19/12/2019,2,11,13,12.0
20/12/2019,2,10,13,11.5
21/12/2019,2,8,10,9.0
22/12/2019,1,9,10,9.5
23/12/2019,2,9,10,9.5
24/12/2019,2,11,12,11.5
25/12/2019,2,9,11,10.0
26/12/2019,3,6,9,7.5
27/12/2019,2,9,11,10.0
28/12/2019,3,5,8,6.5
29/12/2019,3,3,7,5.0
30/12/2019,3,4,11,7.5
31/12/2019,3,5,8,6.5
01/01/2018,2,7,9,8.0
02/01/2018,2,5,11,8.0
03/01/2018,2,9,15,12.0
04/01/2018,2,10,14,12.0
05/01/2018,2,8,11,9.5
06/01/2018,2,6,7,6.5
07/01/2018,2,6,7,6.5
08/01/2018,3,5,8,6.5
09/01/2018,2,5,8,6.5
10/01/2018,2,7,8,7.5
11/01/2018,2,5,7,6.0
12/01/2018,3,4,5,4.5
13/01/2018,3,3,6,4.5
14/01/2018,3,2,7,4.5
15/01/2018,2,5,9,7.0
16/01/2018,2,7,10,8.5
17/01/2018,3,5,7,6.0
18/01/2018,2,8,11,9.5
19/01/2018,3,5,7,6.0
20/01/2018,2,5,10,7.5
21/01/2018,2,5,10,7.5
22/01/2018,2,8,12,10.0
23/01/2018,2,7,11,9.0
24/01/2018,2,11,12,11.5
25/01/2018,2,8,11,9.5
26/01/2018,3,5,9,7.0
27/01/2018,3,4,8,6.0
28/01/2018,2,7,10,8.5
